message,timestamp,severity,tags,attributes
docker-image://ghcr.io/railwayapp/railpack-frontend:v0.39.0@sha256:db24dc37640b6887c3d455b40876ea30f75182964479670cba6e4cde7ffef103,2026-09-15T11:13:59.234284522Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:d069463b57183a9c204bc4286bed473cc586e974e422334a385f77d2528276d1"",""started"":""2026-09-15T11:13:46.605457473Z"",""completed"":""2026-09-15T11:13:46.60550244Z"",""cached"":true}"
docker-image://ghcr.io/railwayapp/railpack-frontend:v0.39.0@sha256:db24dc37640b6887c3d455b40876ea30f75182964479670cba6e4cde7ffef103,2026-09-15T11:13:59.234285263Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:d069463b57183a9c204bc4286bed473cc586e974e422334a385f77d2528276d1"",""started"":""2026-09-15T11:13:46.605457473Z"",""completed"":""2026-09-15T11:13:46.60550244Z"",""cached"":true}"
load build definition from ./railpack-plan.json,2026-09-15T11:13:59.546294019Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f05338b96a4bce7c797f853de9a8be6c5e777dc9643e629a108c2eaa98c2ce8""}"
load build definition from ./railpack-plan.json,2026-09-15T11:13:59.546554530Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f05338b96a4bce7c797f853de9a8be6c5e777dc9643e629a108c2eaa98c2ce8"",""started"":""2026-09-15T11:13:59.546189903Z""}"
load build definition from ./railpack-plan.json,2026-09-15T11:13:59.546568751Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f05338b96a4bce7c797f853de9a8be6c5e777dc9643e629a108c2eaa98c2ce8"",""started"":""2026-09-15T11:13:59.546189903Z"",""completed"":""2026-09-15T11:13:59.546279477Z""}"
load build definition from ./railpack-plan.json,2026-09-15T11:13:59.546683824Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f05338b96a4bce7c797f853de9a8be6c5e777dc9643e629a108c2eaa98c2ce8"",""started"":""2026-09-15T11:13:59.546456543Z""}"
load build definition from ./railpack-plan.json,2026-09-15T11:13:59.679174953Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:6f05338b96a4bce7c797f853de9a8be6c5e777dc9643e629a108c2eaa98c2ce8"",""started"":""2026-09-15T11:13:59.546456543Z"",""completed"":""2026-09-15T11:13:59.678599149Z""}"
copy /mise/installs,2026-09-15T11:13:59.812524369Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:bb90511f99de21910b3907f652903b3bf540713ae7911f04449e7ade536f2a85"",""inputs"":[""sha256:bb56d08a4ca2c21182473a984406c5752a1b4ffb2b48089a6081e6673d1eb0fd"",""sha256:1a49903742a65ab4d9e1a0d8b5c55def5bf11a8aa6cc52746874647d1f51a0b4""]}"
copy / /app,2026-09-15T11:13:59.812526122Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:96d9b7207cfd8b512ea9fe9562ed2e71d14e22d94ae15e77e60023b41604b0a4"",""inputs"":[""sha256:1a49903742a65ab4d9e1a0d8b5c55def5bf11a8aa6cc52746874647d1f51a0b4"",""sha256:26587f92871c7ca9e3fadc843198162306579266a19c4ada7bd72472f364b38b""]}"
"install mise packages: node, pnpm",2026-09-15T11:13:59.812526563Z,info,"{""serviceId"":""ef413c54-5b5e-4f51-8188-160b7408dd91"",""deploymentId"":""797d26bb-8cb5-43a8-9a58-b1a5f03d2da6"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:1a49903742a65ab4d9e1a0d8b5c55def5bf11a8aa6cc52746874647d1f51a0b4"",""inputs"":[""sha256:22c684bdc66fd11d76b758a8fd4414d32a8137cbd9a256c8164434401628e427""]}"
